filepath,testclass,testname,line number,assert string
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\javascript\tests\test_js_example.py,,test_add,27,"assert response.get_json()[""result""] == result"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_auth.py,,test_register,10,"assert client.get(""/auth/register"").status_code == 200"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_auth.py,,test_register,14,"assert response.headers[""Location""] == ""/auth/login"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_auth.py,,test_register,18,assert (
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_auth.py,,test_register_validate_input,36,assert message in response.data
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_auth.py,,test_login,41,"assert client.get(""/auth/login"").status_code == 200"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_auth.py,,test_login,45,"assert response.headers[""Location""] == ""/"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_auth.py,,test_login,51,"assert session[""user_id""] == 1"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_auth.py,,test_login,52,"assert g.user[""username""] == ""test"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_auth.py,,test_login_validate_input,61,assert message in response.data
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_auth.py,,test_logout,69,"assert ""user_id"" not in session"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_index,8,"assert b""Log In"" in response.data"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_index,9,"assert b""Register"" in response.data"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_index,13,"assert b""test title"" in response.data"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_index,14,"assert b""by test on 2018-01-01"" in response.data"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_index,15,"assert b""test\nbody"" in response.data"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_index,16,"assert b'href=""/1/update""' in response.data"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_login_required,22,"assert response.headers[""Location""] == ""/auth/login"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_author_required,34,"assert client.post(""/1/update"").status_code == 403"
